Date,Close,Next_20d_Max_Return,Target (>10%),Action,Action_Label,Confidence_Buy,Confidence_Hold,Reward,Result_Type,Correct,Status
2023-01-03,14224.12,0.09892351864298088,0,1,Buy,0.9999999,9.525393e-08,-0.5,False Positive,0,Finished
2023-01-04,14199.13,0.10085758775361597,1,1,Buy,0.9999999,1.02041206e-07,2.0,True Positive,1,Finished
2023-01-05,14301.05,0.09569786833833871,0,1,Buy,0.9999999,1.08660636e-07,-0.5,False Positive,0,Finished
2023-01-06,14373.34,0.09018711030282445,0,1,Buy,0.9999999,1.0805899e-07,-0.5,False Positive,0,Finished
2023-01-09,14752.21,0.06218864834489213,0,1,Buy,0.9999999,1.6495834e-07,-0.5,False Positive,0,Finished
2023-01-10,14802.96,0.058547074368910046,0,1,Buy,0.99999976,2.0839188e-07,-0.5,False Positive,0,Finished
2023-01-11,14751.44,0.062244092780094684,0,1,Buy,0.99999976,2.044423e-07,-0.5,False Positive,0,Finished
2023-01-12,14731.64,0.0636717975731147,0,1,Buy,0.9999999,1.5980842e-07,-0.5,False Positive,0,Finished
2023-01-13,14824.13,0.05703538757417803,0,1,Buy,0.9999999,1.7869485e-07,-0.5,False Positive,0,Finished
2023-01-16,14927.01,0.049750083908297604,0,1,Buy,0.9999999,1.728897e-07,-0.5,False Positive,0,Finished
2023-01-17,14932.93,0.052570393084277356,0,1,Buy,0.99999976,1.956298e-07,-0.5,False Positive,0,Finished
2023-01-30,15493.82,0.014466413060174821,0,1,Buy,0.99999905,9.724793e-07,-0.5,False Positive,0,Finished
2023-01-31,15265.2,0.029659617954563178,0,1,Buy,0.9999995,5.0554746e-07,-0.5,False Positive,0,Finished
2023-02-01,15420.13,0.019314363756985253,0,1,Buy,0.99999964,3.929848e-07,-0.5,False Positive,0,Finished
2023-02-02,15595.16,0.014345476417042091,0,1,Buy,0.99999905,9.609103e-07,-0.5,False Positive,0,Finished
2023-02-03,15602.66,0.017721337259159586,0,1,Buy,0.99999905,9.0146835e-07,-0.5,False Positive,0,Finished
2023-02-06,15392.82,0.03159525025304011,0,1,Buy,0.9999995,4.62255e-07,-0.5,False Positive,0,Finished
2023-02-07,15400.91,0.03105335983393198,0,1,Buy,0.99999964,3.8857382e-07,-0.5,False Positive,0,Finished
2023-02-08,15618.17,0.01671066456569492,0,1,Buy,0.9999995,5.086008e-07,-0.5,False Positive,0,Finished
2023-02-09,15598.71,0.01797905083176765,0,1,Buy,0.99999917,7.7941075e-07,-0.5,False Positive,0,Finished
2023-02-10,15586.65,0.018766700990912044,0,1,Buy,0.9999994,5.5494087e-07,-0.5,False Positive,0,Finished
2023-02-13,15544.28,0.02154361604397237,0,1,Buy,0.99999964,3.4147345e-07,-0.5,False Positive,0,Finished
2023-02-14,15654.48,0.014352440962587032,0,1,Buy,0.99999976,2.9379584e-07,-0.5,False Positive,0,Finished
2023-02-15,15432.89,0.028916813377144468,0,1,Buy,0.99999976,2.2174927e-07,-0.5,False Positive,0,Finished
2023-02-16,15550.5,0.021135011735957,0,1,Buy,0.9999995,5.155549e-07,-0.5,False Positive,0,Finished
2023-02-17,15479.7,0.025805409665561996,0,1,Buy,0.99999976,2.3853065e-07,-0.5,False Positive,0,Finished
2023-02-20,15551.23,0.021087077999617954,0,1,Buy,0.99999964,3.6890262e-07,-0.5,False Positive,0,Finished
2023-02-21,15563.0,0.0205455246417785,0,1,Buy,0.99999964,3.118065e-07,-0.5,False Positive,0,Finished
2023-02-22,15418.77,0.03263554745287722,0,1,Buy,0.99999976,2.7148184e-07,-0.5,False Positive,0,Finished
2023-02-23,15615.41,0.01963188926835735,0,1,Buy,0.99999964,3.456041e-07,-0.5,False Positive,0,Finished
2023-02-24,15503.79,0.02697275956395173,0,1,Buy,0.99999964,3.565591e-07,-0.5,False Positive,0,Finished
2023-03-01,15598.49,0.02073790475872972,0,1,Buy,0.99999976,2.97845e-07,-0.5,False Positive,0,Finished
2023-03-02,15598.72,0.020722854182907424,0,1,Buy,0.99999964,3.678852e-07,-0.5,False Positive,0,Finished
2023-03-03,15608.42,0.021999664283764764,0,1,Buy,0.99999964,3.7683856e-07,-0.5,False Positive,0,Finished
2023-03-06,15763.51,0.011944674758350038,0,1,Buy,0.9999993,7.596376e-07,-0.5,False Positive,0,Finished
2023-03-07,15857.89,0.00592197322594612,0,1,Buy,0.99999905,9.433964e-07,-0.5,False Positive,0,Finished
2023-03-08,15818.2,0.00844596730348579,0,1,Buy,0.99999917,8.6642615e-07,-0.5,False Positive,0,Finished
2023-03-09,15770.66,0.011485885815812447,0,1,Buy,0.99999774,2.2398574e-06,-0.5,False Positive,0,Finished
2023-03-10,15526.2,0.027411729850188582,0,1,Buy,0.9999995,4.4580722e-07,-0.5,False Positive,0,Finished
2023-03-13,15560.49,0.025147665658343588,0,1,Buy,0.99999976,2.836141e-07,-0.5,False Positive,0,Finished
2023-03-14,15360.42,0.03993380389338319,0,1,Buy,0.9999999,1.5929047e-07,-0.5,False Positive,0,Finished
2023-03-15,15387.59,0.03809758383216599,0,1,Buy,0.99999976,1.8635357e-07,-0.5,False Positive,0,Finished
2023-03-16,15221.12,0.049451025942900406,0,1,Buy,0.99999976,1.7984591e-07,-0.5,False Positive,0,Finished
2023-03-17,15452.96,0.03370616373820945,0,1,Buy,0.99999976,2.4300058e-07,-0.5,False Positive,0,Finished
2023-03-20,15419.97,0.035917709308124435,0,1,Buy,0.99999976,2.2672882e-07,-0.5,False Positive,0,Finished
2023-03-21,15513.45,0.02967553961240088,0,1,Buy,0.9999995,4.1875163e-07,-0.5,False Positive,0,Finished
2023-03-22,15760.46,0.013537675930778814,0,1,Buy,0.9999995,5.163875e-07,-0.5,False Positive,0,Finished
2023-03-23,15863.95,0.006925765651051519,0,1,Buy,0.9999988,1.217462e-06,-0.5,False Positive,0,Finished
2023-03-24,15914.7,0.0037148045517665373,0,1,Buy,0.999995,4.9529326e-06,-0.5,False Positive,0,Finished
2023-03-27,15830.31,0.009065520510969094,0,1,Buy,0.9999988,1.1371762e-06,-0.5,False Positive,0,Finished
2023-03-28,15701.48,0.01734486175825456,0,1,Buy,0.99999917,8.0761424e-07,-0.5,False Positive,0,Finished
2023-03-29,15769.76,0.012939955966355887,0,1,Buy,0.9999988,1.1812443e-06,-0.5,False Positive,0,Finished
2023-03-30,15849.43,0.00784823176606353,0,1,Buy,0.9999976,2.4255382e-06,-0.5,False Positive,0,Finished
2023-03-31,15868.06,0.006664960934102959,0,1,Buy,0.99999785,2.123336e-06,-0.5,False Positive,0,Finished
2023-04-06,15810.77,0.010312590721387904,0,1,Buy,0.999998,1.9925299e-06,-0.5,False Positive,0,Finished
2023-04-07,15836.5,0.008671107883686302,0,1,Buy,0.999998,2.0159193e-06,-0.5,False Positive,0,Finished
2023-04-10,15876.17,0.0061507277888810385,0,1,Buy,0.99999857,1.3855125e-06,-0.5,False Positive,0,Finished
2023-04-11,15913.88,0.003766523311725445,0,1,Buy,0.9999962,3.8564112e-06,-0.5,False Positive,0,Finished
